"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 21 14:29:52 GMT 2020","Mon Sep 21 14:29:53 GMT 2020","1005","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Mon Sep 21 14:29:48 GMT 2020","Mon Sep 21 14:29:48 GMT 2020","5","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Mon Sep 21 14:29:48 GMT 2020","Mon Sep 21 14:29:48 GMT 2020","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"broken","Mon Sep 21 14:29:50 GMT 2020","Mon Sep 21 14:29:50 GMT 2020","13","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"broken","Mon Sep 21 14:29:50 GMT 2020","Mon Sep 21 14:29:51 GMT 2020","1008","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Mon Sep 21 14:29:48 GMT 2020","Mon Sep 21 14:29:48 GMT 2020","86","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Mon Sep 21 14:29:48 GMT 2020","Mon Sep 21 14:29:50 GMT 2020","2037","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Mon Sep 21 14:29:48 GMT 2020","Mon Sep 21 14:29:48 GMT 2020","1","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Mon Sep 21 14:29:51 GMT 2020","Mon Sep 21 14:29:52 GMT 2020","1003","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
