"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 13:23:10 GMT 2020","Thu Aug 13 13:23:10 GMT 2020","9","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Aug 13 13:23:10 GMT 2020","Thu Aug 13 13:23:12 GMT 2020","2004","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Thu Aug 13 13:23:07 GMT 2020","Thu Aug 13 13:23:08 GMT 2020","1119","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"broken","Thu Aug 13 13:23:08 GMT 2020","Thu Aug 13 13:23:08 GMT 2020","18","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"passed","Thu Aug 13 13:23:09 GMT 2020","Thu Aug 13 13:23:10 GMT 2020","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Aug 13 13:23:09 GMT 2020","Thu Aug 13 13:23:09 GMT 2020","23","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Thu Aug 13 13:23:09 GMT 2020","Thu Aug 13 13:23:09 GMT 2020","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"failed","Thu Aug 13 13:23:08 GMT 2020","Thu Aug 13 13:23:09 GMT 2020","1014","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Thu Aug 13 13:23:12 GMT 2020","Thu Aug 13 13:23:14 GMT 2020","2004","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
