"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 07:16:31 GMT 2020","Thu Sep 17 07:16:31 GMT 2020","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Sep 17 07:16:33 GMT 2020","Thu Sep 17 07:16:35 GMT 2020","2005","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"failed","Thu Sep 17 07:16:35 GMT 2020","Thu Sep 17 07:16:36 GMT 2020","1018","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Thu Sep 17 07:16:30 GMT 2020","Thu Sep 17 07:16:31 GMT 2020","64","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Thu Sep 17 07:16:37 GMT 2020","Thu Sep 17 07:16:38 GMT 2020","1004","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Thu Sep 17 07:16:31 GMT 2020","Thu Sep 17 07:16:31 GMT 2020","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Sep 17 07:16:36 GMT 2020","Thu Sep 17 07:16:37 GMT 2020","1004","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"passed","Thu Sep 17 07:16:31 GMT 2020","Thu Sep 17 07:16:33 GMT 2020","2034","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Thu Sep 17 07:16:31 GMT 2020","Thu Sep 17 07:16:31 GMT 2020","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
