"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 07:36:15 GMT 2020","Thu Sep 17 07:36:15 GMT 2020","91","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Thu Sep 17 07:36:16 GMT 2020","Thu Sep 17 07:36:18 GMT 2020","2044","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Thu Sep 17 07:36:16 GMT 2020","Thu Sep 17 07:36:16 GMT 2020","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"broken","Thu Sep 17 07:36:21 GMT 2020","Thu Sep 17 07:36:21 GMT 2020","33","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"passed","Thu Sep 17 07:36:15 GMT 2020","Thu Sep 17 07:36:15 GMT 2020","5","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Thu Sep 17 07:36:15 GMT 2020","Thu Sep 17 07:36:15 GMT 2020","6","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Sep 17 07:36:18 GMT 2020","Thu Sep 17 07:36:20 GMT 2020","2003","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"passed","Thu Sep 17 07:36:21 GMT 2020","Thu Sep 17 07:36:22 GMT 2020","1003","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"failed","Thu Sep 17 07:36:20 GMT 2020","Thu Sep 17 07:36:21 GMT 2020","1021","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
