"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 14 05:16:06 GMT 2020","Fri Aug 14 05:16:07 GMT 2020","1006","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Fri Aug 14 05:16:04 GMT 2020","Fri Aug 14 05:16:05 GMT 2020","1004","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"passed","Fri Aug 14 05:16:06 GMT 2020","Fri Aug 14 05:16:06 GMT 2020","23","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"failed","Fri Aug 14 05:16:02 GMT 2020","Fri Aug 14 05:16:03 GMT 2020","1118","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Fri Aug 14 05:16:06 GMT 2020","Fri Aug 14 05:16:06 GMT 2020","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Fri Aug 14 05:16:05 GMT 2020","Fri Aug 14 05:16:06 GMT 2020","1008","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Fri Aug 14 05:16:06 GMT 2020","Fri Aug 14 05:16:06 GMT 2020","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Fri Aug 14 05:16:07 GMT 2020","Fri Aug 14 05:16:09 GMT 2020","2010","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"passed","Fri Aug 14 05:16:06 GMT 2020","Fri Aug 14 05:16:06 GMT 2020","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
