"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 02 09:16:56 GMT 2021","Fri Apr 02 09:16:58 GMT 2021","2005","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"passed","Fri Apr 02 09:16:59 GMT 2021","Fri Apr 02 09:17:00 GMT 2021","1005","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"passed","Fri Apr 02 09:17:01 GMT 2021","Fri Apr 02 09:17:01 GMT 2021","1","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"broken","Fri Apr 02 09:16:55 GMT 2021","Fri Apr 02 09:16:56 GMT 2021","1114","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Fri Apr 02 09:17:00 GMT 2021","Fri Apr 02 09:17:00 GMT 2021","4","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Fri Apr 02 09:17:00 GMT 2021","Fri Apr 02 09:17:00 GMT 2021","5","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Fri Apr 02 09:17:00 GMT 2021","Fri Apr 02 09:17:00 GMT 2021","32","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"broken","Fri Apr 02 09:17:00 GMT 2021","Fri Apr 02 09:17:00 GMT 2021","7","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Fri Apr 02 09:16:58 GMT 2021","Fri Apr 02 09:16:59 GMT 2021","1005","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
