"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 01 18:48:45 GMT 2021","Thu Apr 01 18:48:46 GMT 2021","1005","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Thu Apr 01 18:48:43 GMT 2021","Thu Apr 01 18:48:45 GMT 2021","2004","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"passed","Thu Apr 01 18:48:48 GMT 2021","Thu Apr 01 18:48:48 GMT 2021","1","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Apr 01 18:48:41 GMT 2021","Thu Apr 01 18:48:43 GMT 2021","2131","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Thu Apr 01 18:48:46 GMT 2021","Thu Apr 01 18:48:47 GMT 2021","1005","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"broken","Thu Apr 01 18:48:47 GMT 2021","Thu Apr 01 18:48:48 GMT 2021","1010","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Thu Apr 01 18:48:48 GMT 2021","Thu Apr 01 18:48:48 GMT 2021","56","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Thu Apr 01 18:48:48 GMT 2021","Thu Apr 01 18:48:48 GMT 2021","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Apr 01 18:48:48 GMT 2021","Thu Apr 01 18:48:48 GMT 2021","1","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
