"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 01 16:36:53 GMT 2021","Thu Apr 01 16:36:55 GMT 2021","2082","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"passed","Thu Apr 01 16:37:00 GMT 2021","Thu Apr 01 16:37:00 GMT 2021","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Apr 01 16:37:00 GMT 2021","Thu Apr 01 16:37:00 GMT 2021","24","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"failed","Thu Apr 01 16:36:58 GMT 2021","Thu Apr 01 16:36:59 GMT 2021","1017","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"passed","Thu Apr 01 16:37:00 GMT 2021","Thu Apr 01 16:37:00 GMT 2021","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Thu Apr 01 16:36:59 GMT 2021","Thu Apr 01 16:37:00 GMT 2021","1004","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"broken","Thu Apr 01 16:36:57 GMT 2021","Thu Apr 01 16:36:58 GMT 2021","1010","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Thu Apr 01 16:37:00 GMT 2021","Thu Apr 01 16:37:00 GMT 2021","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Thu Apr 01 16:36:55 GMT 2021","Thu Apr 01 16:36:57 GMT 2021","2006","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
