"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 02 00:53:59 GMT 2021","Fri Apr 02 00:53:59 GMT 2021","7","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Fri Apr 02 00:53:59 GMT 2021","Fri Apr 02 00:53:59 GMT 2021","1","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Fri Apr 02 00:53:59 GMT 2021","Fri Apr 02 00:53:59 GMT 2021","25","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Fri Apr 02 00:53:54 GMT 2021","Fri Apr 02 00:53:56 GMT 2021","2005","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
"passed","Fri Apr 02 00:53:57 GMT 2021","Fri Apr 02 00:53:58 GMT 2021","1003","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"failed","Fri Apr 02 00:53:58 GMT 2021","Fri Apr 02 00:53:59 GMT 2021","1005","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"failed","Fri Apr 02 00:53:56 GMT 2021","Fri Apr 02 00:53:57 GMT 2021","1021","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Fri Apr 02 00:53:59 GMT 2021","Fri Apr 02 00:53:59 GMT 2021","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Fri Apr 02 00:53:52 GMT 2021","Fri Apr 02 00:53:54 GMT 2021","2101","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
