"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 19:07:09 GMT 2023","Wed Oct 11 19:07:11 GMT 2023","2004","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldClosePullRequest","Close existing pull request for authorized user",""
"broken","Wed Oct 11 19:07:06 GMT 2023","Wed Oct 11 19:07:07 GMT 2023","1043","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldAddLabelToIssue","Create new issue with labels",""
"passed","Wed Oct 11 19:07:06 GMT 2023","Wed Oct 11 19:07:06 GMT 2023","87","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Wed Oct 11 19:07:06 GMT 2023","Wed Oct 11 19:07:06 GMT 2023","1","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Wed Oct 11 19:07:06 GMT 2023","Wed Oct 11 19:07:06 GMT 2023","3","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldCreateUserNote","Create issue via api",""
"passed","Wed Oct 11 19:07:08 GMT 2023","Wed Oct 11 19:07:09 GMT 2023","1004","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCloseIssue","Close new issue for authorized user",""
"passed","Wed Oct 11 19:07:06 GMT 2023","Wed Oct 11 19:07:06 GMT 2023","2","","io.qameta.allure.examples.junit5.IssuesRestTest","","io.qameta.allure.examples.junit5.IssuesRestTest","shouldDeleteUserNote","Close issue via api",""
"passed","Wed Oct 11 19:07:07 GMT 2023","Wed Oct 11 19:07:08 GMT 2023","1003","","io.qameta.allure.examples.junit5.IssuesWebTest","","io.qameta.allure.examples.junit5.IssuesWebTest","shouldCreateIssue","Create new issue authorized user",""
"broken","Wed Oct 11 19:07:11 GMT 2023","Wed Oct 11 19:07:12 GMT 2023","1004","","io.qameta.allure.examples.junit5.PullRequestsWebTest","","io.qameta.allure.examples.junit5.PullRequestsWebTest","shouldCreatePullRequest","Create new pull request for authorized user",""
